Issue_ID,Student_ID,Book_ID,Issue_Date,Due_Date,Return_Date,Number_of_Days_Issued,Renew_Count,Fine_Amount,Library_Visit_Frequency,Total_Library_Visits,Reading_Duration_Hours,Preferred_Book_Type,Online_Resource_Usage,Late_Return_Count,Librarian_ID,Feedback_Rating,Age,Year_of_Study,Section,Roll_Number,Admission_Year,Semester,CGPA,Attendance_Percentage,Academic_Performance,Scholarship_Status,Hostel_DayScholar,City,State,Book_Title,Author_Name,Publisher,ISBN_Number,Book_Edition,Language,Book_Price,Book_Rack_No,Book_Availability,Damage_Report,Publication_Year,Pages,Country_of_Publication,Days_Late,Library_Engagement_Score,Fine_Per_Day,Gender_Male,Department_Civil,Department_ECE,Department_EEE,Department_ME,Student_Type_Regular,Issue_Status_Returned,Book_Category_Electronics,Book_Category_Math,Book_Category_Mechanical,Book_Category_Programming,Book_Category_Science,Book_Condition_Damaged,Book_Condition_Good,Binding_Type_Paperback,Edition_Type_Revised,Edition_Type_Second,Print_Type_Color,Genre_Reference,Genre_Textbook,Library_Shift_Morning,Transaction_Mode_Online
I3036,S1121,B2138,2025-10-18,2025-11-01,2025-10-31,0.043478260869565216,2.0,0.3333333333333333,4,0.4606741573033708,0.5263157894736842,Programming,1,5,L436,4,1.0,2.0,C,25,2022,1,0.7551020408163264,0.075,Average,1,Hostel,Hyderabad,AP,Book_138,Author_138,Elsevier,7271175562.0,4.0,Telugu,0.06161962942394102,1.0,0,Major,2020.0,472.0,India,0,0.4392523364485981,0.0,True,False,True,False,False,True,True,False,False,False,True,False,False,False,True,True,False,False,True,False,True,True
I3037,S1017,B2006,2025-05-23,2025-06-06,2026-01-02,0.08695652173913043,0.0,0.0,9,0.4044943820224719,0.10526315789473684,Civil,1,3,L437,2,0.5,4.0,B,72,2022,3,0.9102040816326529,0.125,Poor,1,DayScholar,Vizag,AP,Book_6,Author_6,Elsevier,2588644191.0,3.0,Hindi,0.5627808350583128,7.0,1,Major,2024.0,771.0,USA,210,0.3644859813084112,0.0,True,True,False,False,False,True,False,False,False,False,False,False,True,False,False,False,True,True,False,False,False,True
I3038,S1159,B2010,2025-12-02,2025-12-16,2026-01-02,0.2608695652173913,1.0,0.0,7,0.011235955056179775,0.8947368421052632,Math,1,3,L438,4,1.0,1.0,A,36,2023,8,0.6551020408163264,0.775,Poor,0,Hostel,Hyderabad,AP,Book_10,Author_10,Springer,7841745657.0,5.0,Hindi,0.16689806634018273,36.0,0,Minor,2021.0,767.0,USA,17,0.1588785046728972,0.0,True,False,False,False,True,False,False,False,False,False,True,False,False,False,True,True,False,True,True,False,False,True
I3039,S1129,B2105,2025-04-26,2025-05-10,2026-01-02,0.08695652173913043,3.0,0.6666666666666666,2,0.1797752808988764,0.7368421052631579,Science,0,0,L439,1,0.5,2.0,B,23,2022,5,0.7448979591836735,0.975,Average,0,Hostel,Rajahmundry,AP,Book_105,Author_105,Elsevier,4394861599.0,4.0,Hindi,0.774208613116575,47.0,0,Major,2018.0,710.0,USA,237,0.22429906542056074,0.08438818565400844,True,False,False,False,False,False,False,False,False,True,False,False,False,True,False,True,False,False,True,False,False,False
I3040,S1079,B2012,2025-06-08,2025-06-22,2025-06-18,0.7391304347826086,3.0,0.3333333333333333,7,0.8089887640449438,0.8421052631578947,Mechanical,0,3,L440,3,0.5,1.0,B,39,2023,7,0.6530612244897958,0.025,Average,1,DayScholar,Rajahmundry,AP,Book_12,Author_12,Springer,3001809173.0,4.0,Telugu,0.05091634270712372,17.0,0,Major,2018.0,504.0,India,0,0.8130841121495327,0.0,False,True,False,False,False,False,True,False,False,False,False,True,True,False,False,False,True,True,False,True,False,False
I3041,S1167,B2121,2025-11-17,2025-12-01,2025-11-27,0.43478260869565216,3.0,0.0,6,0.0898876404494382,0.5789473684210527,Mechanical,1,5,L441,2,0.3333333333333333,4.0,B,3,2022,8,0.35306122448979593,0.75,Poor,0,Hostel,Rajahmundry,AP,Book_121,Author_121,Elsevier,8447620940.0,1.0,Telugu,0.16624173272075526,27.0,1,Major,2021.0,187.0,India,0,0.1588785046728972,0.0,True,False,False,False,True,True,True,True,False,False,False,False,True,False,True,True,False,True,False,True,False,False
I3042,S1118,B2022,2025-04-26,2025-05-10,2025-05-15,0.13043478260869565,1.0,1.0,8,0.651685393258427,0.47368421052631576,Electronics,0,3,L442,1,0.6666666666666666,4.0,A,20,2024,8,0.2408163265306123,0.8,Poor,1,DayScholar,Rajahmundry,AP,Book_22,Author_22,Springer,9095104320.0,2.0,Telugu,0.41788256676932406,35.0,0,Major,2022.0,630.0,India,5,0.6261682242990654,6.0,True,True,False,False,False,False,True,False,False,False,False,False,True,False,True,False,False,True,False,True,True,False
I3043,S1098,B2141,2025-07-17,2025-07-31,2025-07-30,0.13043478260869565,2.0,0.6666666666666666,9,0.3258426966292135,0.8947368421052632,Science,0,1,L443,3,0.3333333333333333,4.0,B,75,2022,1,0.45918367346938765,0.625,Average,0,Hostel,Vizag,AP,Book_141,Author_141,McGraw Hill,2215052325.0,4.0,Hindi,0.5908264754884637,20.0,0,Major,2019.0,559.0,UK,0,0.4392523364485981,0.0,True,True,False,False,False,True,True,False,False,True,False,False,False,False,True,False,True,True,True,False,False,True
I3044,S1170,B2029,2025-11-19,2025-12-03,2025-11-30,0.17391304347826086,2.0,0.6666666666666666,1,0.9775280898876404,0.05263157894736842,Math,1,4,L444,5,0.5,3.0,A,62,2024,5,0.0612244897959185,0.15,Average,0,Hostel,Hyderabad,AP,Book_29,Author_29,Elsevier,8596019555.0,4.0,English,0.7315216842530418,34.0,0,Minor,2022.0,546.0,UK,0,0.7570093457943925,0.0,False,False,False,True,False,True,True,False,False,True,False,False,False,True,True,False,True,False,False,False,False,True
I3045,S1114,B2050,2025-08-14,2025-08-28,2025-08-27,0.9565217391304348,3.0,0.3333333333333333,10,0.3707865168539326,0.3157894736842105,Mechanical,1,4,L445,1,0.16666666666666666,2.0,B,22,2023,3,0.6183673469387754,0.075,Poor,0,Hostel,Rajahmundry,AP,Book_50,Author_50,McGraw Hill,2441876174.0,3.0,Telugu,0.4445019437572575,7.0,0,Major,2022.0,674.0,USA,0,0.38317757009345793,0.0,False,True,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,True,False,False,True,True
I3046,S1111,B2027,2025-02-11,2025-02-25,2025-02-27,1.0,2.0,1.0,7,0.20224719101123595,0.10526315789473684,Mechanical,0,0,L446,1,0.16666666666666666,4.0,C,37,2022,6,0.0,0.6,Poor,0,Hostel,Rajahmundry,AP,Book_27,Author_27,Oxford,1201461174.0,3.0,English,0.1919018528802948,28.0,1,Minor,2020.0,308.0,USA,2,0.17757009345794392,15.0,False,False,False,False,True,False,True,False,True,False,False,False,True,False,True,True,False,True,True,False,False,False
I3047,S1019,B2059,2025-12-02,2025-12-16,2025-12-17,0.4782608695652174,2.0,0.0,9,0.6966292134831461,0.42105263157894735,Electronics,0,5,L447,1,0.8333333333333334,2.0,C,29,2022,8,0.03265306122448982,0.075,Excellent,0,Hostel,Vijayawada,AP,Book_59,Author_59,Springer,6181710473.0,5.0,Hindi,0.5388877669510779,50.0,0,Major,2020.0,786.0,India,1,0.6635514018691588,0.0,False,False,False,False,True,False,True,False,False,False,False,True,True,False,True,False,True,True,False,False,True,False
I3048,S1129,B2045,2025-07-17,2025-07-31,2025-08-05,0.9130434782608695,0.0,0.6666666666666666,7,0.0,0.15789473684210525,Electronics,0,1,L448,3,0.5,2.0,B,23,2022,5,0.7448979591836735,0.975,Average,0,Hostel,Rajahmundry,AP,Book_45,Author_45,Springer,7535588425.0,2.0,English,0.4784419649618821,9.0,1,Major,2019.0,164.0,UK,5,0.018691588785046728,4.0,True,False,False,False,False,False,True,False,True,False,False,False,False,True,True,True,False,False,False,True,False,True
I3049,S1056,B2046,2025-10-09,2025-10-23,2026-01-02,0.08695652173913043,2.0,1.0,5,0.14606741573033707,0.47368421052631576,Math,1,0,L449,3,0.3333333333333333,2.0,A,62,2024,4,0.6612244897959184,0.35,Average,0,Hostel,Vijayawada,AP,Book_46,Author_46,Springer,6292882647.0,1.0,English,0.10426869288635333,23.0,1,Major,2021.0,392.0,UK,71,0.17757009345794392,0.4225352112676056,False,False,False,False,True,True,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False
